Conceito Médio de Graduação;Conceito Médio de Mestrado;Conceito Médio do doutorado;DOC. EXERCÍCIO;Cotitular_Sistema_S;Cotitular_Unidades_Centros_Pesquisa;Cotitular_Orgao_Publico;Cotitular_Pessoa_Fisica;Cotitular_Empresa_Parc_Estrangeiro;Cotitular_Entidade_Privada;Cotitular_Empresa_Pública_SEM;Cotitular_Empresa_Privada;Cotitular_Agencia_Fomento;ÁREA DE CONHECIMENTO DE ORIGEM;Região;Houve TT?
2,7371;4,4262;4,754;812;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sul;NÃO
2,8208;3,8714;2,4238;741;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Ciências da Saúde;Sul;NÃO
2,7599;4,3797;4,7527;895;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sul;NÃO
2,7599;4,3797;4,7527;895;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sul;NÃO
4,1651;3,6022;1,9224;530;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
4,1651;3,6022;1,9224;530;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Sociais Aplicadas;Sudeste;NÃO
4,1651;3,6022;1,9224;530;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Sociais Aplicadas;Sudeste;NÃO
3,8858;4,2513;4,4826;566;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
3,8763;4,2743;4,4839;675;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Engenharias;Sudeste;NÃO
3,8858;4,2513;4,4826;566;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
4,1651;3,6022;1,9224;530;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
4,1651;3,6022;1,9224;530;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
3,8858;4,2513;4,4826;566;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Ciências Exatas e da Terra;Sudeste;SIM
3,8858;4,2513;4,4826;566;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
3,8858;4,2513;4,4826;566;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
3,8763;4,3106;4,4842;603;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
4,1651;3,6224;2,3258;503;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
4,1651;3,6224;2,3258;503;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
4,1651;3,6022;1,9224;530;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
4,1651;3,6022;1,9224;530;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
3,8858;4,2513;4,4826;566;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Ciências Exatas e da Terra;Sudeste;SIM
3,8858;4,2513;4,4826;566;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
3,8858;4,2513;4,4826;566;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
3,8858;4,2513;4,4826;566;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Ciências da Saúde;Sudeste;NÃO
3,8858;4,2513;4,4826;566;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Ciências da Saúde;Sudeste;NÃO
3,8858;4,2513;4,4826;566;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Ciências da Saúde;Sudeste;NÃO
3,8763;4,3106;4,4842;603;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
3,8763;4,3106;4,4842;603;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
3,8763;4,3106;4,4842;603;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
3,8763;4,2743;4,4839;675;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
3,8763;4,2743;4,4839;675;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
3,8763;4,2743;4,4839;675;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
3,8763;4,2743;4,4839;675;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
3,8763;4,2743;4,4839;675;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Sudeste;NÃO
3,8763;4,2743;4,4839;675;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
3,8763;4,2743;4,4839;675;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
3,8763;4,2743;4,4839;675;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
3,8763;4,2743;4,4839;675;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
3,8763;4,2743;4,4839;675;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
3,8763;4,2743;4,4839;675;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
3,4968;4,4337;4,6794;734;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
3,4968;4,4337;4,6794;734;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
3,4968;4,4337;4,6794;734;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
3,4968;4,4337;4,6794;734;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
3,4914;4,4286;4,6522;759;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
3,4914;4,4286;4,6522;759;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
3,4914;4,4286;4,6522;759;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
3,4914;4,4286;4,6522;759;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
3,4914;4,4286;4,6522;759;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
3,4914;4,4286;4,6522;759;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
3,4914;4,4286;4,6522;759;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
#N/D;#N/D;#N/D;775;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
#N/D;#N/D;#N/D;775;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
#N/D;#N/D;#N/D;775;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
#N/D;#N/D;#N/D;775;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
#N/D;#N/D;#N/D;775;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
#N/D;#N/D;#N/D;775;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
#N/D;#N/D;#N/D;775;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
#N/D;#N/D;#N/D;775;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
#N/D;#N/D;#N/D;775;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
#N/D;#N/D;#N/D;775;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
#N/D;#N/D;#N/D;775;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Ciências Exatas e da Terra;Sudeste;SIM
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
#N/D;#N/D;#N/D;#N/D;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Ciências Exatas e da Terra;Sudeste;NÃO
4,1651;3,7821;2,3237;441;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
4,1651;3,7821;2,3237;441;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
4,1651;3,7821;2,3237;441;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
4,1651;3,6224;2,3258;503;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
4,1651;3,6224;2,3258;503;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
4,1651;3,6224;2,3258;503;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Sudeste;NÃO
4,1651;3,6022;1,9224;530;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
4,1651;3,6022;1,9224;530;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
3,8858;4,2513;4,4826;566;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Engenharias;Sudeste;NÃO
3,8858;4,2513;4,4826;566;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
3,8763;4,3106;4,4842;603;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
#N/D;#N/D;#N/D;null;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Ciências Biológicas;Sudeste;NÃO
3,4914;4,4286;4,6522;759;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;SIM
4,1651;3,6224;2,3258;503;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
3,8763;4,3106;4,4842;603;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Ciências Exatas e da Terra;Sudeste;NÃO
4,1651;3,6224;2,3258;503;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Sudeste;NÃO
4,1651;3,6224;2,3258;503;Não;Não;Não;Não;Não;Não;Não;Não;Não;Indeterminada;Sudeste;NÃO
4,1651;3,6224;2,3258;503;Não;Não;Não;Não;Não;Não;Não;Não;Não;Indeterminada;Sudeste;NÃO
3,8763;4,2743;4,4839;675;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Sudeste;NÃO
2,5429;4,042;4,5;633;Não;Não;Não;Não;Não;Não;Não;Não;Não;Engenharias;Norte;NÃO
null;null;null;630;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Agrárias;Norte;NÃO
null;null;null;590;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Norte;NÃO
#N/D;#N/D;#N/D;1064;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Nordeste;NÃO
#N/D;#N/D;#N/D;1361;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Nordeste;NÃO
#N/D;#N/D;#N/D;1361;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Nordeste;NÃO
#N/D;#N/D;#N/D;1361;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Nordeste;NÃO
2,4996;3,5068;2,1688;1381;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Nordeste;NÃO
2,4996;3,5068;2,1688;1381;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Nordeste;NÃO
2,4996;3,5068;2,1688;1381;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Nordeste;NÃO
2,4996;3,5068;2,1688;1381;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Nordeste;NÃO
2,4996;3,5068;2,1688;1381;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Nordeste;NÃO
2,4996;3,5068;2,1688;1381;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Nordeste;NÃO
2,6561;3,4649;2,19;1497;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Nordeste;NÃO
2,6561;3,4649;2,19;1497;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Nordeste;NÃO
2,6561;3,4649;2,19;1497;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Nordeste;NÃO
2,7124;3,4098;2,1405;1546;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Nordeste;NÃO
2,7124;3,4098;2,1405;1546;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Nordeste;NÃO
2,7124;3,4098;2,1405;1546;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Nordeste;NÃO
2,7124;3,4098;2,1405;1546;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Nordeste;NÃO
2,7124;3,4098;2,1405;1546;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Nordeste;NÃO
2,7303;3,5609;2,1329;1493;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Nordeste;NÃO
2,7303;3,5609;2,1329;1493;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Nordeste;NÃO
2,7303;3,5609;2,1329;1493;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Nordeste;NÃO
2,6869;4,2028;4,5589;1722;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências da Saúde;Nordeste;NÃO
2,6869;4,2028;4,5589;1722;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Biológicas;Nordeste;NÃO
2,6869;4,2028;4,5589;1722;Não;Não;Não;Não;Não;Não;Não;Não;Não;Ciências Exatas e da Terra;Nordeste;NÃO
